data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable
518,1,0.3652,0.0054,0.2058,1,0,0.506,0.4899,0.001587341039014655,1,0.1866,0.1772,1.053,1.052,0.0093,74.4,-0.0908,-176.2,-0.1218,0.0179,1883.8,1346,1445,1.073,0
809,5,0.5125,-0.0252,0.2283,0,1,0.1389,0.1389,-0.006028671779726185,0,0.1685,0.2,0.842,0.833,-0.0315,22.0,0.7202,-666.2,-0.036,-0.0057,40725.5,36179,18489,0.511,1
453,6,0.6052,0.0048,0.2299,0,0,0.5,0.4712,-0.001586019710330008,1,0.0506,0.0491,1.031,1.03,0.0015,459.8,0.0071,150.3,0.2027,0.0113,748.4,572,740,1.291,1
490,1,0.3209,0.0295,0.2137,0,0,0.4497,0.496,0.00807898614953561,2,0.2135,0.1532,1.394,1.393,0.0603,11.5,0.8115,-251.1,-0.235,0.0504,1888.7,394,1067,2.697,1
477,2,0.1775,0.0022,0.0969,0,0,0.4252,0.4881,0.009294450482952493,2,0.091,0.1028,0.885,0.885,-0.0118,58.7,-0.6213,49.8,0.0952,0.0506,629.4,598,522,0.871,0
331,3,0.4343,-0.0159,0.2358,0,0,0.6389,0.627,-0.0007399767926748738,1,0.0839,0.1038,0.809,0.808,-0.0199,34.9,0.0786,48.0,0.1228,0.0129,508.9,508,390,0.765,1
706,0,0.1342,0.0158,0.1012,1,0,0.4158,0.408,0.03022474711990618,2,0.3163,0.2,1.582,1.563,0.1163,6.0,0.9138,-10821.3,-0.1945,0.0084,101588.6,6534,55629,8.511,1
72,3,0.1562,0.0145,0.1603,0,0,0.4524,0.5377,0.01690990339045874,2,0.2542,0.0995,2.555,2.555,0.1547,4.5,-0.045,-0.5,-0.0243,-0.1944,55.0,1,21,10.762,0
543,5,0.4919,-0.0012,0.3128,1,0,0.4684,0.4471,0.0001790818209599252,1,0.1054,0.1115,0.945,0.944,-0.0062,112.4,-0.1558,229.4,0.1227,-0.0131,2010.5,1855,1869,1.007,0
44,3,0.3306,-0.0367,0.258,0,0,0.5005,0.4325,-0.00890229126887873,0,0.0925,0.2,0.463,0.463,-0.1075,6.4,0.9604,-0.2,-0.0276,0.0016,44.3,44,5,0.11,1
